Energy,Epoch
-1.1162140607466908,99
-1.113860140564081,99
-1.1162140607466908,99
-1.113860140564081,99
-1.113860140564081,99
-1.113860140564081,99
-1.113860140564081,99
-1.113860140564081,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.113860140564081,99
-1.113860140564081,99
-1.113860140564081,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.113860140564081,99
-1.1113834699947829,99
-1.1162140607466908,99
-1.113860140564081,99
-1.113860140564081,99
-1.113860140564081,99
-1.1162140607466908,99
-1.116191130382861,99
-1.113860140564081,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.113860140564081,99
-1.1138359808437865,99
-1.1113834699947829,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.113860140564081,99
-1.113860140564081,99
-1.113860140564081,99
-1.1113834699947829,99
-1.1162140607466908,99
-1.1150102009095442,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.113860140564081,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.113860140564081,99
-1.1162140607466908,99
-1.1113834699947829,99
-1.113860140564081,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.113860140564081,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.113860140564081,99
-1.113860140564081,99
-1.1113834699947829,99
-1.1161285230791926,99
-1.1162140607466908,99
-1.1113834699947829,99
-1.1162140607466908,99
-1.113860140564081,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.113860140564081,99
-1.1113834699947829,99
-1.1162140607466908,99
-1.113860140564081,99
-1.113860140564081,99
-1.1162140607466908,99
-1.113860140564081,99
-1.1113834699947829,99
-1.113860140564081,99
-1.113860140564081,99
-1.113860140564081,99
-1.113860140564081,99
-1.113860140564081,99
-1.1162140607466908,99
-1.113860140564081,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.113860140564081,99
-1.113860140564081,99
-1.1150102009095442,99
-1.113860140564081,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.113860140564081,99
-1.113860140564081,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.113860140564081,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.113860140564081,99
-1.113860140564081,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.1113834699947829,99
-1.1162140607466908,99
-1.113860140564081,99
-1.1162140607466908,99
-1.1162140607466908,99
-1.1162140607466908,99
